grid_size,avg_sugar,vision,metabolism,seed,repeat,N_inf,lambda,R2_surv,steps_run,agents_final,survival_rate,total_combats,total_births,avg_final_sugar,n_attacks,mean_alpha_gap_attacks,pct_move,pct_stay,pct_attack,pct_reproduce
20,0.5,6.0,0.667,42,0,1.402,0.08117,0.9845,200,1,0.02,48,1,610.08,73,0.7807,20.9,36.3,7.9,0.9
20,0.5,1.0,0.9291,43,1,1.53,0.05553,0.9278,200,2,0.04,20,1,209.33,29,0.776,18.1,77.9,2.3,0.1
20,0.5,4.0,1.28,44,2,1.825,0.04332,0.9718,200,1,0.02,25,3,38.19,39,0.5756,25.8,18.0,2.5,1.5
20,0.5,3.0,1.1265,45,3,3.426,0.04289,0.9882,200,3,0.06,29,1,42.17,40,0.696,20.9,38.8,2.2,0.8
20,0.5,1.0,1.1,46,4,2.978,0.06376,0.8779,200,3,0.06,11,1,125.67,15,0.604,21.3,75.6,1.0,0.1
20,0.5,3.0,0.5938,47,5,3.692,0.0302,0.9718,200,4,0.08,40,5,301.76,77,0.6425,21.3,31.3,3.3,0.9
20,0.5,5.0,0.9732,48,6,3.955,0.03778,0.9934,200,5,0.1,34,5,80.04,69,0.6119,23.0,14.5,3.3,1.0
20,0.5,1.0,1.0165,49,7,3.939,0.06212,0.9123,200,4,0.08,15,2,117.15,24,0.5652,20.4,75.1,1.5,0.1
20,0.5,4.0,1.7835,50,8,0.0,0.08617,0.9189,57,0,0.0,12,1,0.0,20,0.7813,29.0,19.4,3.1,0.9
20,0.5,2.0,1.7577,51,9,0.306,0.0775,0.9755,65,0,0.0,15,0,0.0,25,0.735,20.0,45.9,3.4,0.3
20,1.0,6.0,0.667,42,0,2.134,0.05858,0.9921,200,2,0.04,50,2,448.63,94,0.5915,22.4,31.7,7.3,0.5
20,1.0,1.0,0.9291,43,1,2.241,0.04736,0.9504,200,1,0.02,28,0,1138.91,48,0.7535,36.6,53.0,3.1,0.2
20,1.0,4.0,1.28,44,2,4.443,0.0352,0.9868,200,4,0.08,30,6,78.39,54,0.5352,25.7,15.9,2.4,1.2
20,1.0,3.0,1.1265,45,3,5.783,0.0218,0.9822,200,6,0.12,32,3,87.5,52,0.8658,24.6,11.6,1.6,1.0
20,1.0,1.0,1.1,46,4,5.165,0.05187,0.9022,200,5,0.1,20,1,225.12,37,0.5883,38.2,53.8,1.8,0.2
20,1.0,3.0,0.5938,47,5,2.088,0.0131,0.9754,200,3,0.06,48,6,723.21,84,0.805,22.3,11.0,2.2,1.0
20,1.0,5.0,0.9732,48,6,3.687,0.04018,0.9678,200,4,0.08,46,5,195.9,93,0.6119,22.9,20.6,4.9,1.4
20,1.0,1.0,1.0165,49,7,4.552,0.04217,0.936,200,4,0.08,23,0,316.0,43,0.7111,38.5,48.8,2.1,0.3
20,1.0,4.0,1.7835,50,8,0.368,0.06129,0.965,99,0,0.0,17,1,0.0,23,0.8299,30.0,13.7,2.4,1.0
20,1.0,2.0,1.7577,51,9,1.322,0.05941,0.9782,110,0,0.0,15,0,0.0,22,0.5901,27.7,38.0,2.1,0.2
20,1.5,6.0,0.667,42,0,1.991,0.02372,0.9776,200,2,0.04,53,6,945.62,93,0.679,26.2,13.2,3.9,1.0
20,1.5,1.0,0.9291,43,1,2.901,0.03053,0.9678,200,2,0.04,46,1,1099.66,80,0.6816,49.8,34.8,3.6,0.4
20,1.5,4.0,1.28,44,2,0.294,0.01479,0.9845,200,3,0.06,39,2,192.07,80,0.6618,26.2,6.0,2.5,1.0
20,1.5,3.0,1.1265,45,3,4.728,0.01374,0.9575,200,7,0.14,40,2,170.54,74,0.7409,28.3,5.6,1.8,1.2
20,1.5,1.0,1.1,46,4,3.583,0.0364,0.9811,200,3,0.06,40,1,525.21,59,0.6612,47.0,43.1,2.8,0.6
20,1.5,3.0,0.5938,47,5,0.0,0.0089,0.9592,200,11,0.22,50,11,284.14,84,0.6531,21.7,6.6,1.8,1.0
20,1.5,5.0,0.9732,48,6,11.75,0.0241,0.9536,200,13,0.26,40,9,82.33,71,0.6082,19.2,7.6,1.8,1.0
20,1.5,1.0,1.0165,49,7,2.721,0.02032,0.9858,200,4,0.08,45,5,508.79,73,0.5926,44.2,40.5,2.5,0.6
20,1.5,4.0,1.7835,50,8,0.0,0.04115,0.9283,88,0,0.0,9,2,0.0,15,0.7946,30.8,9.9,1.2,1.5
20,1.5,2.0,1.7577,51,9,0.0,0.03105,0.9573,173,0,0.0,11,1,0.0,27,0.7964,36.7,17.1,1.6,0.5
20,2.0,6.0,0.667,42,0,0.577,0.02738,0.9778,200,2,0.04,53,5,921.35,103,0.5562,25.5,14.1,5.2,1.1
20,2.0,1.0,0.9291,43,1,2.136,0.03504,0.9582,200,3,0.06,47,0,856.08,64,0.782,53.1,31.4,3.4,0.2
20,2.0,4.0,1.28,44,2,0.0,0.01234,0.9565,200,6,0.12,45,8,143.23,87,0.5925,22.9,4.2,2.3,1.2
20,2.0,3.0,1.1265,45,3,14.477,0.01723,0.9767,200,14,0.28,48,12,85.1,80,0.7572,24.2,3.8,1.6,1.1
20,2.0,1.0,1.1,46,4,4.423,0.03828,0.979,200,4,0.08,37,2,427.58,69,0.6965,46.1,40.7,3.2,0.4
20,2.0,3.0,0.5938,47,5,19.862,0.03424,0.8926,200,19,0.38,43,12,201.13,81,0.7207,21.8,5.4,1.7,0.8
20,2.0,5.0,0.9732,48,6,3.856,0.03686,0.9877,200,4,0.08,46,4,284.0,78,0.6522,33.5,18.6,3.8,0.4
20,2.0,1.0,1.0165,49,7,3.78,0.01924,0.9825,200,6,0.12,42,3,381.32,81,0.6903,47.3,37.5,2.5,0.5
20,2.0,4.0,1.7835,50,8,0.0,0.03805,0.9396,100,0,0.0,15,0,0.0,31,0.7282,33.3,8.5,2.3,1.0
20,2.0,2.0,1.7577,51,9,0.663,0.02943,0.9525,200,1,0.02,20,2,63.41,31,0.6162,36.7,21.6,1.6,0.7
20,2.5,6.0,0.667,42,0,4.057,0.04682,0.9161,200,3,0.06,56,9,722.14,105,0.7005,26.2,8.2,5.8,1.3
20,2.5,1.0,0.9291,43,1,3.661,0.02953,0.9739,200,4,0.08,50,4,769.97,86,0.7429,55.2,30.8,3.6,0.5
20,2.5,4.0,1.28,44,2,1.704,0.0142,0.9893,200,5,0.1,40,1,204.15,69,0.5656,28.9,6.7,1.9,1.0
20,2.5,3.0,1.1265,45,3,0.0,0.00402,0.9617,200,23,0.46,33,9,60.93,60,0.6754,22.0,2.7,0.9,0.9
20,2.5,1.0,1.1,46,4,1.848,0.02861,0.9861,200,3,0.06,45,1,796.44,84,0.7474,55.0,30.3,3.9,0.5
20,2.5,3.0,0.5938,47,5,0.0,0.00901,0.8918,200,11,0.22,47,8,379.4,81,0.7154,22.9,4.9,1.7,0.5
20,2.5,5.0,0.9732,48,6,9.933,0.02746,0.9297,200,7,0.14,51,8,286.35,95,0.6726,26.1,6.3,2.7,1.0
20,2.5,1.0,1.0165,49,7,3.429,0.02753,0.9934,200,3,0.06,49,3,915.24,77,0.7509,53.8,33.4,3.2,0.4
20,2.5,4.0,1.7835,50,8,0.0,0.02707,0.977,200,1,0.02,19,1,101.53,32,0.6872,31.5,11.5,1.6,1.0
20,2.5,2.0,1.7577,51,9,0.224,0.01978,0.9669,200,2,0.04,22,1,67.14,41,0.581,36.4,14.6,1.6,0.7
20,3.0,6.0,0.667,42,0,2.345,0.02807,0.9781,200,2,0.04,54,6,1328.31,99,0.6099,30.6,10.7,4.6,1.0
20,3.0,1.0,0.9291,43,1,2.918,0.02388,0.9818,200,3,0.06,50,3,1243.33,90,0.7477,56.2,31.3,3.4,0.3
20,3.0,4.0,1.28,44,2,7.627,0.01173,0.9686,200,11,0.22,46,11,113.58,83,0.5918,23.9,4.6,1.7,1.3
20,3.0,3.0,1.1265,45,3,28.155,0.02525,0.9579,200,30,0.6,39,19,80.83,77,0.6989,23.6,3.3,1.2,1.1
20,3.0,1.0,1.1,46,4,3.025,0.02761,0.9782,200,3,0.06,48,1,1024.11,87,0.7722,55.4,33.7,3.6,0.5
20,3.0,3.0,0.5938,47,5,0.0,0.00513,0.9501,200,16,0.32,54,20,335.02,84,0.6767,21.8,3.3,1.3,0.8
20,3.0,5.0,0.9732,48,6,5.542,0.0236,0.9628,200,3,0.06,54,7,761.09,92,0.5326,31.0,6.2,3.0,0.9
20,3.0,1.0,1.0165,49,7,1.045,0.02121,0.9892,200,2,0.04,49,1,1650.11,87,0.7352,54.9,28.9,3.4,0.2
20,3.0,4.0,1.7835,50,8,0.0,0.02215,0.9475,200,1,0.02,13,3,70.14,20,0.5918,29.4,7.2,0.8,0.9
20,3.0,2.0,1.7577,51,9,0.0,0.01698,0.9729,200,2,0.04,25,0,43.19,52,0.6866,36.1,15.7,1.8,0.4
30,0.5,6.0,0.667,42,0,3.691,0.06179,0.9789,200,4,0.08,49,5,214.71,88,0.666,19.0,48.4,5.7,0.9
30,0.5,1.0,0.9291,43,1,3.859,0.05243,0.908,200,3,0.06,17,0,317.42,30,0.8238,28.3,66.8,1.7,0.1
30,0.5,4.0,1.28,44,2,5.506,0.03753,0.9638,200,5,0.1,35,8,79.46,63,0.7627,27.6,22.5,2.7,1.0
30,0.5,3.0,1.1265,45,3,5.917,0.0403,0.9797,200,6,0.12,29,6,63.67,50,0.6267,24.6,33.1,2.1,0.9
30,0.5,1.0,1.1,46,4,2.874,0.05951,0.9163,200,3,0.06,11,0,204.9,17,0.9018,26.5,70.5,1.2,0.1
30,0.5,3.0,0.5938,47,5,5.833,0.02698,0.9598,200,5,0.1,38,5,348.72,60,0.6444,21.0,39.6,2.1,0.5
30,0.5,5.0,0.9732,48,6,2.809,0.03723,0.979,200,3,0.06,33,4,152.61,63,0.6098,22.6,28.4,3.3,0.5
30,0.5,1.0,1.0165,49,7,3.39,0.0643,0.8255,200,2,0.04,7,1,436.54,13,0.414,30.9,64.6,0.8,0.1
30,0.5,4.0,1.7835,50,8,0.0,0.06413,0.9471,54,0,0.0,13,1,0.0,25,0.4963,30.4,19.3,3.0,1.0
30,0.5,2.0,1.7577,51,9,1.439,0.06874,0.967,176,0,0.0,13,1,0.0,30,0.6825,26.8,41.3,2.9,0.7
30,1.0,6.0,0.667,42,0,3.555,0.042,0.9701,200,4,0.08,50,4,352.76,97,0.6629,25.2,30.2,5.2,1.1
30,1.0,1.0,0.9291,43,1,3.177,0.03113,0.9607,200,3,0.06,30,3,722.93,50,0.7818,47.0,44.7,2.3,0.5
30,1.0,4.0,1.28,44,2,7.309,0.03024,0.9592,200,6,0.12,44,11,102.79,86,0.712,29.1,16.3,3.0,1.4
30,1.0,3.0,1.1265,45,3,0.482,0.01341,0.987,200,4,0.08,34,8,144.2,74,0.5931,25.2,14.0,2.0,1.1
30,1.0,1.0,1.1,46,4,7.03,0.03049,0.9458,200,6,0.12,27,1,281.05,44,0.741,42.3,52.3,1.5,0.2
30,1.0,3.0,0.5938,47,5,4.558,0.01276,0.9619,200,10,0.2,39,8,284.49,67,0.6976,24.1,17.9,1.6,0.8
30,1.0,5.0,0.9732,48,6,2.598,0.02461,0.9851,200,4,0.08,33,5,194.58,57,0.6155,28.7,21.0,2.3,0.8
30,1.0,1.0,1.0165,49,7,5.463,0.03807,0.9386,200,5,0.1,19,0,281.49,32,0.7601,38.0,56.3,1.4,0.1
30,1.0,4.0,1.7835,50,8,0.0,0.04316,0.9848,81,0,0.0,12,1,0.0,20,0.5636,33.0,15.0,1.7,0.9
30,1.0,2.0,1.7577,51,9,0.0,0.03695,0.9936,131,0,0.0,14,0,0.0,24,0.6908,31.6,33.1,1.7,0.4
30,1.5,6.0,0.667,42,0,5.664,0.047,0.9642,200,6,0.12,50,6,323.77,90,0.6063,25.4,22.8,4.2,0.8
30,1.5,1.0,0.9291,43,1,3.112,0.02131,0.9805,200,5,0.1,35,2,638.19,65,0.7721,52.9,37.8,2.3,0.3
30,1.5,4.0,1.28,44,2,2.774,0.02005,0.9826,200,5,0.1,43,7,180.18,73,0.7524,29.6,16.3,2.5,0.6
30,1.5,3.0,1.1265,45,3,3.548,0.0098,0.9787,200,13,0.26,31,4,84.16,56,0.649,26.0,8.1,1.2,0.8
30,1.5,1.0,1.1,46,4,8.951,0.031,0.949,200,7,0.14,34,2,346.17,57,0.6514,45.9,46.9,1.8,0.3
30,1.5,3.0,0.5938,47,5,0.0,0.00638,0.9017,200,12,0.24,47,13,354.71,96,0.6449,25.4,11.8,1.7,0.9
30,1.5,5.0,0.9732,48,6,0.0,0.00935,0.9751,200,7,0.14,48,13,232.59,92,0.521,28.2,9.3,2.0,1.1
30,1.5,1.0,1.0165,49,7,7.684,0.02976,0.9672,200,7,0.14,35,4,377.03,56,0.7557,47.0,45.4,1.8,0.2
30,1.5,4.0,1.7835,50,8,0.0,0.03204,0.9733,118,0,0.0,15,1,0.0,25,0.7967,31.6,10.4,1.5,0.7
30,1.5,2.0,1.7577,51,9,1.694,0.03004,0.9897,200,1,0.02,22,0,12.99,41,0.9094,35.9,30.2,2.1,0.5
30,2.0,6.0,0.667,42,0,4.987,0.03571,0.983,200,5,0.1,53,8,511.58,104,0.5961,29.7,13.5,4.5,0.9
30,2.0,1.0,0.9291,43,1,3.358,0.02676,0.9667,200,4,0.08,40,1,882.91,60,0.8194,56.2,34.5,2.4,0.3
30,2.0,4.0,1.28,44,2,2.495,0.01459,0.9854,200,5,0.1,47,13,182.42,72,0.6618,26.8,10.3,2.0,1.1
30,2.0,3.0,1.1265,45,3,12.501,0.00861,0.9766,200,18,0.36,35,9,76.08,62,0.4911,25.0,8.2,1.0,0.8
30,2.0,1.0,1.1,46,4,6.01,0.02942,0.9807,200,7,0.14,40,1,424.53,60,0.6219,55.7,37.2,2.2,0.3
30,2.0,3.0,0.5938,47,5,0.0,0.00763,0.9569,200,10,0.2,56,17,410.75,94,0.6026,26.7,10.7,1.8,0.7
30,2.0,5.0,0.9732,48,6,4.307,0.01407,0.9772,200,4,0.08,52,9,589.56,88,0.6967,26.2,8.0,2.2,1.0
30,2.0,1.0,1.0165,49,7,5.106,0.01751,0.9625,200,7,0.14,39,2,516.7,72,0.586,53.1,38.3,2.0,0.2
30,2.0,4.0,1.7835,50,8,0.0,0.02459,0.9543,96,0,0.0,10,0,0.0,22,0.718,31.9,9.7,1.1,0.9
30,2.0,2.0,1.7577,51,9,0.852,0.02321,0.9792,200,2,0.04,20,0,56.6,30,0.569,36.5,28.6,1.3,0.3
30,2.5,6.0,0.667,42,0,1.546,0.01996,0.9786,200,4,0.08,58,12,757.36,99,0.4998,29.8,12.3,3.6,1.5
30,2.5,1.0,0.9291,43,1,7.493,0.02131,0.9928,200,6,0.12,44,3,735.85,67,0.735,57.9,34.9,1.9,0.5
30,2.5,4.0,1.28,44,2,0.0,0.00753,0.9874,200,10,0.2,42,8,142.48,71,0.6257,29.8,8.8,1.4,1.0
30,2.5,3.0,1.1265,45,3,25.94,0.01752,0.915,200,26,0.52,34,12,85.55,65,0.6311,27.2,10.6,1.0,0.9
30,2.5,1.0,1.1,46,4,7.307,0.01986,0.9791,200,7,0.14,46,4,586.69,79,0.6619,58.2,34.0,2.2,0.4
30,2.5,3.0,0.5938,47,5,6.545,0.00738,0.9708,200,17,0.34,42,10,277.0,76,0.6583,23.6,12.3,1.3,0.5
30,2.5,5.0,0.9732,48,6,0.0,0.00576,0.9687,200,12,0.24,52,14,246.84,99,0.6428,27.1,5.3,1.7,1.0
30,2.5,1.0,1.0165,49,7,3.741,0.013,0.9776,200,8,0.16,44,2,565.53,82,0.6179,56.7,35.1,2.0,0.2
30,2.5,4.0,1.7835,50,8,0.0,0.02453,0.9445,187,0,0.0,7,0,0.0,14,0.5041,32.9,11.3,0.6,0.5
30,2.5,2.0,1.7577,51,9,0.0,0.02002,0.9725,200,2,0.04,25,2,159.21,47,0.6148,39.0,27.0,1.8,0.5
30,3.0,6.0,0.667,42,0,4.974,0.02658,0.9922,200,4,0.08,52,6,830.86,84,0.5414,33.3,14.0,3.1,0.7
30,3.0,1.0,0.9291,43,1,6.024,0.01745,0.9922,200,6,0.12,45,2,943.26,71,0.779,62.1,31.5,1.9,0.1
30,3.0,4.0,1.28,44,2,0.216,0.01052,0.983,200,7,0.14,42,4,212.26,85,0.6645,29.1,10.9,2.0,0.6
30,3.0,3.0,1.1265,45,3,0.0,0.00439,0.8693,200,15,0.3,53,18,195.76,97,0.6843,27.3,7.6,1.4,0.8
30,3.0,1.0,1.1,46,4,5.253,0.01706,0.9738,200,8,0.16,50,8,635.08,77,0.5288,65.1,27.3,2.1,0.4
30,3.0,3.0,0.5938,47,5,6.844,0.00807,0.9571,200,18,0.36,46,14,299.16,94,0.7044,28.7,11.0,1.6,0.5
30,3.0,5.0,0.9732,48,6,1.709,0.01041,0.9774,200,6,0.12,59,15,478.37,89,0.637,28.4,7.0,2.0,0.9
30,3.0,1.0,1.0165,49,7,4.302,0.01124,0.9816,200,10,0.2,45,5,651.0,88,0.7368,61.9,29.2,1.9,0.2
30,3.0,4.0,1.7835,50,8,0.0,0.0177,0.9622,200,2,0.04,11,2,102.59,15,0.9607,32.7,10.0,0.5,0.5
30,3.0,2.0,1.7577,51,9,0.705,0.0217,0.9408,200,4,0.08,27,1,66.27,42,0.7757,36.5,28.9,1.7,0.3
50,0.5,6.0,0.667,42,0,7.192,0.03251,0.9436,200,8,0.16,38,11,104.16,54,0.5326,15.3,57.3,1.9,0.6
50,0.5,1.0,0.9291,43,1,6.046,0.0319,0.9144,200,6,0.12,19,3,467.2,28,0.4863,52.3,41.9,1.0,0.4
50,0.5,4.0,1.28,44,2,9.109,0.03067,0.9185,200,5,0.1,18,4,99.26,42,0.7754,23.8,22.8,1.3,0.7
50,0.5,3.0,1.1265,45,3,4.58,0.02796,0.9777,200,4,0.08,26,9,120.67,43,0.3282,22.8,48.9,1.7,0.9
50,0.5,1.0,1.1,46,4,6.783,0.04921,0.8787,200,5,0.1,10,0,265.22,21,0.6861,40.6,55.7,0.9,0.2
50,0.5,3.0,0.5938,47,5,6.699,0.03094,0.9384,200,7,0.14,25,4,235.8,42,0.5676,18.4,63.6,1.5,0.3
50,0.5,5.0,0.9732,48,6,4.987,0.02794,0.9781,200,5,0.1,31,6,130.29,50,0.6933,22.1,32.2,1.9,0.6
50,0.5,1.0,1.0165,49,7,10.981,0.05256,0.8286,200,9,0.18,7,0,213.58,11,0.5034,42.6,50.9,0.4,0.1
50,0.5,4.0,1.7835,50,8,0.0,0.07026,0.9421,47,0,0.0,11,0,0.0,16,0.8587,24.5,40.1,2.1,0.4
50,0.5,2.0,1.7577,51,9,1.66,0.06719,0.9515,200,1,0.02,9,0,7.88,15,0.7922,27.3,55.3,1.3,0.3
50,1.0,6.0,0.667,42,0,13.494,0.02959,0.947,200,8,0.16,50,12,267.47,85,0.4881,19.2,24.1,2.1,0.9
50,1.0,1.0,0.9291,43,1,7.009,0.02722,0.9412,200,5,0.1,24,1,822.49,48,0.5416,57.5,36.2,1.6,0.1
50,1.0,4.0,1.28,44,2,8.904,0.02568,0.949,200,7,0.14,26,9,85.46,47,0.4556,28.1,24.1,1.4,0.7
50,1.0,3.0,1.1265,45,3,18.653,0.02966,0.9112,200,15,0.3,27,12,75.6,44,0.3895,25.5,20.8,0.9,0.9
50,1.0,1.0,1.1,46,4,12.321,0.048,0.8616,70,16,0.32,11,1,102.92,20,0.6021,49.2,45.8,1.2,0.8
